SUM_of_UNITS
449
854
438
260
196
227
401
579
299
350
1464
367
584
261
189
346
236
171
145
178
153
136
169
151
133
95
133
133
124
110
130
151
430
315
151
230
463
258
144
297
408
300
270
271
216
205
369
262
204
200
674
542
